"6.2","29.0"
"9.5","44.0"
"10.5","36.0"
"7.7","37.0"
"8.6","53.0"
"34.1","68.0"
"11.0","75.0"
"6.9","18.0"
"7.3","31.0"
"15.1","25.0"
"29.1","34.0"
"2.2","14.0"
"5.7","11.0"
"2.0","11.0"
"2.5","22.0"
"4.0","16.0"
"5.4","27.0"
"2.2","9.0"
"7.2","29.0"
"15.1","30.0"
"16.5","40.0"
"18.4","32.0"
"36.2","41.0"
"39.7","147.0"
"18.5","22.0"
"23.3","29.0"
"12.2","46.0"
"5.6","23.0"
"21.8","4.0"
"21.6","31.0"
"9.0","39.0"
"3.6","15.0"
"5.0","32.0"
"28.6","27.0"
"17.4","32.0"
"11.3","34.0"
"3.4","17.0"
"11.9","46.0"
"10.5","42.0"
"10.7","43.0"
"10.8","34.0"
"4.8","19.0"
